date_id,full_date,year,quarter,month,month_name,day,day_name,day_of_week,is_weekend
20230611,1686441600000,2023,2,6,June,11,Sunday,7,1
20240523,1716422400000,2024,2,5,May,23,Thursday,4,0
20231112,1699747200000,2023,4,11,November,12,Sunday,7,1
20240706,1720224000000,2024,3,7,July,6,Saturday,6,1
20230408,1680912000000,2023,2,4,April,8,Saturday,6,1
20240126,1706227200000,2024,1,1,January,26,Friday,5,0
20230804,1691107200000,2023,3,8,August,4,Friday,5,0
20241102,1730505600000,2024,4,11,November,2,Saturday,6,1
20231222,1703203200000,2023,4,12,December,22,Friday,5,0
20230210,1675987200000,2023,1,2,February,10,Friday,5,0
20231007,1696636800000,2023,4,10,October,7,Saturday,6,1
20240605,1717545600000,2024,2,6,June,5,Wednesday,3,0
20230120,1674172800000,2023,1,1,January,20,Friday,5,0
20230911,1694390400000,2023,3,9,September,11,Monday,1,0
20240731,1722384000000,2024,3,7,July,31,Wednesday,3,0
20240213,1707782400000,2024,1,2,February,13,Tuesday,2,0
20240510,1715299200000,2024,2,5,May,10,Friday,5,0
20230924,1695513600000,2023,3,9,September,24,Sunday,7,1
20231119,1700352000000,2023,4,11,November,19,Sunday,7,1
20230413,1681344000000,2023,2,4,April,13,Thursday,4,0
